#id,AGE,MURDER TOOL,CLOTHE,SHOES,HEADWEAR,ACCESSORY,JOB,TIME,PLACE,SOUND,TRACE
0,50s,Pesticide,Logo Printed Windbreaker,Black Converse,Long Brown hair,Left Ear Pierced,Soldier,Late Night,Closed Amusement Park,Toilet Flush Sound,Maggot
1,40s,Monkey Wrench,Grey Hiking Jacket,White Stained Boots,Brown Short Babyperm,Lion Shaped Ring,Sanitation Worker,Early Morning,Motel in Backstreet,Cars On Highway,Weapon With Fingerprint
2,20s,Cordless Drill,Undershirt,White Platform Sneakers,Short Permed Hair,Engagement Ring,Mart Cashier,Late Night,Old Snack Bar,Reading Buddhist Text,Black Vinyl Bag
3,20s,Green Utility Knife,Jersey Zip Hoodie,Black Low Sneakers,Comma Hairstyle,Colorful Bracelets,Mart Cashier,Late Night,Big Old Arboretum,Propeller Sound,Fingerprints
4,30s,Wooden Cane,Grey Knit Shirt,White Platform Sneakers,Black Short Babyperm,Millitary Backpack,Nurse,Late Night,Office,Chewing Paper Cup,Black Wig Hair
5,50s,Sniper Gun ULR338,Undershirt,Chess Patteren loafer,Mid-long Straight Hair,Electronics Anklet,Sanitation Worker,Deep Dawn,Lecture Hall,Spit On Ground,Used Toilet Paper
6,30s,Studded Dirty Knuckle,Long Padded Coat,Black Low Sneakers,Long Blonde hair,Thick Chain Nechlace,Director,Late Night,Old Guest House,Hammering Sound,Excrements
7,20s,Wooden Handle Hatchet,Grey Hiking Jacket,Knee High Wellies,Long Hippie Perm,Gold Cross Necklace,Athletic Trainer,Early Morning,Messy Goshiwon,Bearing Groaning,Nail Tips
8,60s,Expandable Nightstick,Printed White Tshirt,White Platform Sneakers,Brown Short Babyperm,Eyebrow Piercing,Lawyer,Early Morning,Lonesome Bus Station,Hammering Sound,Disposable Lighter
9,50s,Hydrochloric Acid,Grey Hiking Jacket,White Running Shoes,Perm With Bangs,Skull Shaped Ring,Athlete,Late Afternoon,PC cafe,Strong Wind,Light Brown Hair
10,60s,White Silk Curtain,Black Tshirt,German Army Trainers,Two Block Haircut,Millitary Backpack,Mechanic,Deep Dawn,Karaoke Underground,Finger Snap,Irregular Footprints
11,30s,Sharp Edged Stone,Long Padded Coat,Red Football Boots,Matilda Bob,Black Disposable Mask,Lawyer,Night,Officetel Management Office,Irregular Walking Sound,Arson Attempt
12,40s,Fishing Wire,Long Sleeve Tshirt,White Basketball Shoes,Pomade Hair,Tennis Wristband,Firefighter,Deep Dawn,Haunted House,Toilet Flush Sound,Light Brown Hair
13,30s,Wrapped Blowfish Sashimi,Khaki Tshirt,Black Leather Loafer,Cherry Red Hair,Electronics Anklet,Professor,Around Midnight,Messy Dumpster Alley,Whistle,Crumpled Cigarette Package
14,20s,Expandable Nightstick,Crop Vest Knit,Knee High Wellies,Two Block Haircut,Black Backpack,Hotel Receptionist,Deep Dawn,Haunted House,Chewing Paper Cup,Fly
15,30s,Tetrodotoxin Powder,Crop Vest Knit,Black Leather Loafer,Short Hair,Millitary Backpack,Cleaner,Deep Dawn,Messy Club,Dog Barking,Disposable Lighter
16,40s,Shinai,Blue Shirt,Red Converse,High Ponytail,Leg Prosthetics,Model,Night,Messy Goshiwon,Plastic Beating Sound,Disposable Lighter
17,30s,Shinai,Crop Vest Knit,Chess Patteren loafer,Mid-long Curly Hair,Colorful Bracelets,Nurse,Late Night,Subway Station Entrance,Bearing Groaning,Black Hair
18,40s,Piano Wire,Ivy League Hoodie,Red Football Boots,Long Curly Hair,Black Backpack,Mart Cashier,Early Morning,Old Guest House,Throw Up Blood,Fingerprints
19,40s,Fishing Wire,Vest With Slits,Knee High Wellies,Short Curly Hair,Black Disposable Mask,Police Officer,Morning,Custom Camping Car,Digging With Shovel,Scorch Mark
20,20s,Mercury,Yellow Short Cardigan,Bare Foot,Comma Hairstyle,Thick Chain Nechlace,Banker,Morning,Lonesome Bus Station,Keyboard Sound,Black Wig Hair
21,50s,Sport Towel,Stripe Turtleneck Knit,Black Converse,Long Blonde hair,Buddhist Bead Bracelet,Hotel Receptionist,Around Midnight,SUV Back Seats,Cat Meow,Maggot
22,30s,Wooden Handle Hatchet,Jersey Zip Hoodie,White Platform Sneakers,Long Brown hair,Stud Earrings,Guard,Night,Office,Electric Fan Sound,Black Wig Hair
23,20s,Sharp Edged Stone,Blue Shirt,Ivory Converse,Long Hippie Perm,Chocker Necklace,Chef,Late Night,Motel in Backstreet,Skid Sounds,Weapon With Fingerprint
24,30s,Wodden Handle Shovel,Grey Hiking Jacket,White Stained Boots,Black Short Babyperm,Tennis Wristband,Cleaner,Deep Dawn,Karaoke Underground,TV Sports Commentaries,Metal Fragments
25,40s,Duct Tape,Grey Knit Shirt,Chess Patteren loafer,Short Permed Hair,Engagement Ring,Guard,Late Night,Old Studio Apartment,Quite Conversation,Metal Fragments
26,60s,Charging Cable,Grey Hiking Jacket,Logo Printed Slider,Mid-long Curly Hair,Colorful Bracelets,Professor,Deep Dawn,Messy Dumpster Alley,Dog Barking,Empty Cartridge
27,40s,Coca-cola Bottle,Printed White Tshirt,White Running Shoes,Cherry Red Hair,Charm Earrings,Director,Night,Motel in Backstreet,Hazy Music,Feather
28,40s,Irregular Shaped Rock,Undershirt,Red Football Boots,Pink Permed Hair,Thick Chain Nechlace,Mart Cashier,Morning,Old Studio Apartment,Hammering Sound,Crumpled Cigarette Package
29,70s,Rusty Pickaxe,Crop Vest Knit,Ivowy Suede Moccasin,Long Hippie Perm,Drop earrings,Cleaner,Night,Motel in Downtown,Sand Stepping Barefoot,Arson Attempt
30,40s,Wrapped Knife,White Shirt,Knee High Wellies,Long Hair,Colorful Bracelets,Mechanic,Late Night,Messy Goshiwon,Twisting Jaw joint,Excrements
